Blockbuster,Crime/Mystery,Factual,Fantasy/SciFi,Feel Good,STARS,Thrill Factor,Title,Title with year removed,Type,Url,Words In Title,Year,Year  Filter,Year  Filter (copy),Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Duration,Family,Fantasy,Film Noir,Game Show,History,Horror,Imdb Rating,Music,Musical,Mystery,News,Number of Records,Rating Count,Reality TV,Romance,Sci Fi,Short,Sport,Talk Show,Thriller,War,Western
Yes,No,No,No,Yes,4.5 stars,No,Der Vagabund und das Kind (1921),Der Vagabund und das Kind ,video.movie,http://www.imdb.com/title/tt0012349/,der vagabund und das kind,"1,921",1921,1921,0,0,0,0,0,1,0,0,1,3240,1,0,0,0,0,0,8.4,0,0,0,0,1,40550,0,0,0,0,0,0,0,0,0
Yes,No,No,No,Yes,4.5 stars,No,Goldrausch (1925),Goldrausch ,video.movie,http://www.imdb.com/title/tt0015864/,goldrausch,"1,925",1925,1925,0,0,1,0,0,1,0,0,0,5700,1,0,0,0,0,0,8.3,0,0,0,0,1,45319,0,0,0,0,0,0,0,0,0
Yes,No,No,Yes,No,4.5 stars,No,Metropolis (1927),Metropolis ,video.movie,http://www.imdb.com/title/tt0017136/,metropolis,"1,927",1927,1927,0,0,0,0,0,0,0,0,1,9180,0,0,0,0,0,0,8.4,0,0,0,0,1,81007,0,0,1,0,0,0,0,0,0
Yes,No,No,No,Yes,4.5 stars,No,Der General (1926),Der General ,video.movie,http://www.imdb.com/title/tt0017925/,der general,"1,926",1926,1926,1,0,1,0,0,1,0,0,0,6420,0,0,0,0,0,0,8.3,0,0,0,0,1,37521,0,0,0,0,0,0,0,0,0
Yes,No,No,No,Yes,4.5 stars,No,Lichter der Großstadt (1931),Lichter der Großstadt ,video.movie,http://www.imdb.com/title/tt0021749/,lichter der gro stadt,"1,931",1931,1931,0,0,0,0,0,1,0,0,1,5220,0,0,0,0,0,0,8.7,0,0,0,0,1,70057,0,1,0,0,0,0,0,0,0
Yes,Yes,No,No,No,4.5 stars,Yes,M (1931),M ,video.movie,http://www.imdb.com/title/tt0022100/,m,"1,931",1931,1931,0,0,0,0,0,0,1,0,1,7020,0,0,0,0,0,0,8.5,0,0,0,0,1,73726,0,0,0,0,0,0,1,0,0
No,No,No,No,Yes,4.5 stars,No,Es geschah in einer Nacht (1934),Es geschah in einer Nacht ,video.movie,http://www.imdb.com/title/tt0025316/,es geschah in einer nacht,"1,934",1934,1934,0,0,0,0,0,1,0,0,0,6300,0,0,0,0,0,0,8.3,0,0,0,0,1,46503,0,1,0,0,0,0,0,0,0
Yes,No,No,No,Yes,4.5 stars,No,Moderne Zeiten (1936),Moderne Zeiten ,video.movie,http://www.imdb.com/title/tt0027977/,moderne zeiten,"1,936",1936,1936,0,0,0,0,0,1,0,0,1,5220,0,0,0,0,0,0,8.6,0,0,0,0,1,90847,0,0,0,0,0,0,0,0,0
Yes,No,No,No,Yes,4.5 stars,No,Vom Winde verweht (1939),Vom Winde verweht ,video.movie,http://www.imdb.com/title/tt0031381/,vom winde verweht,"1,939",1939,1939,0,0,0,0,0,0,0,0,1,14280,0,0,0,0,0,0,8.2,0,0,0,0,1,160414,0,1,0,0,0,0,0,1,0
Yes,No,No,No,No,4.5 stars,No,Mr. Smith geht nach Washington (1939),Mr. Smith geht nach Washington ,video.movie,http://www.imdb.com/title/tt0031679/,mr smith geht nach washington,"1,939",1939,1939,0,0,0,0,0,0,0,0,1,7740,0,0,0,0,0,0,8.4,0,0,0,0,1,58169,0,0,0,0,0,0,0,0,0
Yes,No,No,Yes,Yes,4.5 stars,No,Der Zauberer von Oz (1939),Der Zauberer von Oz ,video.movie,http://www.imdb.com/title/tt0032138/,der zauberer von oz,"1,939",1939,1939,0,0,1,0,0,0,0,0,0,6120,1,1,0,0,0,0,8.1,0,0,0,0,1,209506,0,0,0,0,0,0,0,0,0
Yes,No,No,No,No,4.5 stars,No,Früchte des Zorns (1940),Früchte des Zorns ,video.movie,http://www.imdb.com/title/tt0032551/,fr chte des zorns,"1,940",1940,1940,0,0,0,0,0,0,0,0,1,7740,0,0,0,0,0,0,8.2,0,0,0,0,1,45737,0,0,0,0,0,0,0,0,0
Yes,No,No,No,Yes,4.5 stars,No,Der große Diktator (1940),Der große Diktator ,video.movie,http://www.imdb.com/title/tt0032553/,der gro e diktator,"1,940",1940,1940,0,0,0,0,0,1,0,0,1,7500,0,0,0,0,0,0,8.5,0,0,0,0,1,87969,0,0,0,0,0,0,0,1,0
Yes,Yes,No,No,No,4.5 stars,Yes,Rebecca (1940),Rebecca ,video.movie,http://www.imdb.com/title/tt0032976/,rebecca,"1,940",1940,1940,0,0,0,0,0,0,0,0,1,7800,0,0,0,0,0,0,8.3,0,0,1,0,1,65670,0,0,0,0,0,0,1,0,0
Yes,Yes,No,No,No,4.5 stars,No,Citizen Kane (1941),Citizen Kane ,video.movie,http://www.imdb.com/title/tt0033467/,citizen kane,"1,941",1941,1941,0,0,0,0,0,0,0,0,1,7140,0,0,0,0,0,0,8.5,0,0,1,0,1,228617,0,0,0,0,0,0,0,0,0
Yes,Yes,No,No,No,4.5 stars,No,Die Spur des Falken (1941),Die Spur des Falken ,video.movie,http://www.imdb.com/title/tt0033870/,die spur des falken,"1,941",1941,1941,0,0,0,0,0,0,1,0,1,6000,0,0,1,0,0,0,8.2,0,0,0,0,1,86012,0,0,0,0,0,0,0,0,0
Yes,No,No,No,Yes,4.5 stars,No,Casablanca (1942),Casablanca ,video.movie,http://www.imdb.com/title/tt0034583/,casablanca,"1,942",1942,1942,0,0,0,0,0,0,0,0,1,6120,0,0,0,0,0,0,8.6,0,0,0,0,1,296802,0,1,0,0,0,0,0,1,0
Yes,Yes,No,No,No,4.5 stars,No,Frau ohne Gewissen (1944),Frau ohne Gewissen ,video.movie,http://www.imdb.com/title/tt0036775/,frau ohne gewissen,"1,944",1944,1944,0,0,0,0,0,0,1,0,1,6420,0,0,1,0,0,0,8.5,0,0,0,0,1,71266,0,0,0,0,0,0,0,0,0
Yes,No,No,No,Yes,4.5 stars,No,Die besten Jahre unseres Lebens (1946),Die besten Jahre unseres Lebens ,video.movie,http://www.imdb.com/title/tt0036868/,die besten jahre unseres lebens,"1,946",1946,1946,0,0,0,0,0,0,0,0,1,10320,0,0,0,0,0,0,8.3,0,0,0,0,1,30002,0,1,0,0,0,0,0,1,0
No,Yes,No,No,No,4.5 stars,No,Tote schlafen fest (1946),Tote schlafen fest ,video.movie,http://www.imdb.com/title/tt0038355/,tote schlafen fest,"1,946",1946,1946,0,0,0,0,0,0,1,0,0,6840,0,0,1,0,0,0,8.1,0,0,1,0,1,50020,0,0,0,0,0,0,0,0,0
Yes,No,No,Yes,Yes,4.5 stars,No,It's a Wonderful Life (1946),It's a Wonderful Life ,video.movie,http://www.imdb.com/title/tt0038650/,it s a wonderful life,"1,946",1946,1946,0,0,0,0,0,0,0,0,1,7800,1,1,0,0,0,0,8.7,0,0,0,0,1,197764,0,0,0,0,0,0,0,0,0
Yes,No,No,No,Yes,4.5 stars,No,Berüchtigt (1946),Berüchtigt ,video.movie,http://www.imdb.com/title/tt0038787/,ber chtigt,"1,946",1946,1946,0,0,0,0,0,0,0,0,1,6060,0,0,1,0,0,0,8.2,0,0,0,0,1,56306,0,1,0,0,0,0,0,0,0
Yes,No,No,No,No,4.5 stars,No,Fahrraddiebe (1948),Fahrraddiebe ,video.movie,http://www.imdb.com/title/tt0040522/,fahrraddiebe,"1,948",1948,1948,0,0,0,0,0,0,0,0,1,5280,0,0,0,0,0,0,8.4,0,0,0,0,1,63797,0,0,0,0,0,0,0,0,0
Yes,Yes,No,No,No,4.5 stars,Yes,Cocktail für eine Leiche (1948),Cocktail für eine Leiche ,video.movie,http://www.imdb.com/title/tt0040746/,cocktail f r eine leiche,"1,948",1948,1948,0,0,0,0,0,0,1,0,1,4800,0,0,0,0,0,0,8.1,0,0,0,0,1,72370,0,0,0,0,0,0,1,0,0
